Country/Region,Literacy rate(%),Mean years of schooling,Share of education in governmental expenditure (%)
Armenia,99.60,10.73,9.37
Belarus,99.60,,12.45
Slovakia,99.60,12.82,9.79
Turkmenistan,99.60,,20.80
Barbados,99.70,9.45,14.17
Georgia,99.70,,6.71
Kazakhstan,99.70,11.33,12.61
Lithuania,99.70,10.89,12.34
Poland,99.70,11.32,11.06
Russia,99.70,11.53,11.15
Slovenia,99.70,11.89,12.63
Tajikistan,99.70,10.30,16.35
Ukraine,99.70,11.15,13.87
Azerbaijan,99.80,,6.48
Cuba,99.80,10.16,
Estonia,99.80,12.11,12.06
Latvia,99.80,10.65,8.73
Andorra,100.00,,
Finland,100.00,9.84,12.81
Greenland,100.00,,
Liechtenstein,100.00,,
Luxembourg,100.00,10.99,9.70
North Korea,100.00,,
Norway,100.00,11.59,17.45
Vatican,100.00,,
